"","FIPS_county","Year","State","County.name","FIPS","County.code","county_ansi","Yield.bu.acre"
"320343","17011",1997,"ILLINOIS","BUREAU","17","011","011",261000
"320344","17015",1997,"ILLINOIS","CARROLL","17","015","015",139000
"320345","17073",1997,"ILLINOIS","HENRY","17","073","073",223900
"320346","17085",1997,"ILLINOIS","JO DAVIESS","17","085","085",84500
"320347","17103",1997,"ILLINOIS","LEE","17","103","103",212000
"320348","17131",1997,"ILLINOIS","MERCER","17","131","131",125000
"320349","17141",1997,"ILLINOIS","OGLE","17","141","141",199000
"320350","17155",1997,"ILLINOIS","PUTNAM","17","155","155",33600
"320351","17161",1997,"ILLINOIS","ROCK ISLAND","17","161","161",68100
"320352","17177",1997,"ILLINOIS","STEPHENSON","17","177","177",165000
"320353","17195",1997,"ILLINOIS","WHITESIDE","17","195","195",205900
"320354","17201",1997,"ILLINOIS","WINNEBAGO","17","201","201",94000
"320355","17007",1997,"ILLINOIS","BOONE","17","007","007",66900
"320356","17031",1997,"ILLINOIS","COOK","17","031","031",8600
"320357","17037",1997,"ILLINOIS","DE KALB","17","037","037",204600
"320358","17043",1997,"ILLINOIS","DU PAGE","17","043","043",6800
"320359","17063",1997,"ILLINOIS","GRUNDY","17","063","063",110000
"320360","17089",1997,"ILLINOIS","KANE","17","089","089",102700
"320361","17093",1997,"ILLINOIS","KENDALL","17","093","093",84000
"320362","17097",1997,"ILLINOIS","LAKE","17","097","097",14500
"320363","17099",1997,"ILLINOIS","LA SALLE","17","099","099",291300
"320364","17111",1997,"ILLINOIS","MCHENRY","17","111","111",105600
"320365","17197",1997,"ILLINOIS","WILL","17","197","197",135000
"320366","17001",1997,"ILLINOIS","ADAMS","17","001","001",130200
"320367","17009",1997,"ILLINOIS","BROWN","17","009","009",38600
"320368","17057",1997,"ILLINOIS","FULTON","17","057","057",164100
"320369","17067",1997,"ILLINOIS","HANCOCK","17","067","067",152500
"320370","17071",1997,"ILLINOIS","HENDERSON","17","071","071",94000
"320371","17095",1997,"ILLINOIS","KNOX","17","095","095",153000
"320372","17109",1997,"ILLINOIS","MCDONOUGH","17","109","109",137100
"320373","17169",1997,"ILLINOIS","SCHUYLER","17","169","169",64500
"320374","17187",1997,"ILLINOIS","WARREN","17","187","187",144000
"320375","17039",1997,"ILLINOIS","DE WITT","17","039","039",97600
"320376","17107",1997,"ILLINOIS","LOGAN","17","107","107",183400
"320377","17113",1997,"ILLINOIS","MCLEAN","17","113","113",336000
"320378","17115",1997,"ILLINOIS","MACON","17","115","115",149300
"320379","17123",1997,"ILLINOIS","MARSHALL","17","123","123",91400
"320380","17125",1997,"ILLINOIS","MASON","17","125","125",115700
"320381","17129",1997,"ILLINOIS","MENARD","17","129","129",71600
"320382","17143",1997,"ILLINOIS","PEORIA","17","143","143",109200
"320383","17175",1997,"ILLINOIS","STARK","17","175","175",90600
"320384","17179",1997,"ILLINOIS","TAZEWELL","17","179","179",151000
"320385","17203",1997,"ILLINOIS","WOODFORD","17","203","203",137200
"320386","17019",1997,"ILLINOIS","CHAMPAIGN","17","019","019",275000
"320387","17053",1997,"ILLINOIS","FORD","17","053","053",145000
"320388","17075",1997,"ILLINOIS","IROQUOIS","17","075","075",320800
"320389","17091",1997,"ILLINOIS","KANKAKEE","17","091","091",187000
"320390","17105",1997,"ILLINOIS","LIVINGSTON","17","105","105",295200
"320391","17147",1997,"ILLINOIS","PIATT","17","147","147",121000
"320392","17183",1997,"ILLINOIS","VERMILION","17","183","183",226000
"320393","17005",1997,"ILLINOIS","BOND","17","005","005",51000
"320394","17013",1997,"ILLINOIS","CALHOUN","17","013","013",21700
"320395","17017",1997,"ILLINOIS","CASS","17","017","017",79300
"320396","17021",1997,"ILLINOIS","CHRISTIAN","17","021","021",185100
"320397","17061",1997,"ILLINOIS","GREENE","17","061","061",111900
"320398","17083",1997,"ILLINOIS","JERSEY","17","083","083",55100
"320399","17117",1997,"ILLINOIS","MACOUPIN","17","117","117",149000
"320400","17119",1997,"ILLINOIS","MADISON","17","119","119",91000
"320401","17135",1997,"ILLINOIS","MONTGOMERY","17","135","135",157000
"320402","17137",1997,"ILLINOIS","MORGAN","17","137","137",127000
"320403","17149",1997,"ILLINOIS","PIKE","17","149","149",134900
"320404","17167",1997,"ILLINOIS","SANGAMON","17","167","167",209000
"320405","17171",1997,"ILLINOIS","SCOTT","17","171","171",53000
"320406","17023",1997,"ILLINOIS","CLARK","17","023","023",105300
"320407","17025",1997,"ILLINOIS","CLAY","17","025","025",65200
"320408","17029",1997,"ILLINOIS","COLES","17","029","029",116300
"320409","17033",1997,"ILLINOIS","CRAWFORD","17","033","033",79100
"320410","17035",1997,"ILLINOIS","CUMBERLAND","17","035","035",70700
"320411","17041",1997,"ILLINOIS","DOUGLAS","17","041","041",120100
"320412","17045",1997,"ILLINOIS","EDGAR","17","045","045",157300
"320413","17049",1997,"ILLINOIS","EFFINGHAM","17","049","049",90700
"320414","17051",1997,"ILLINOIS","FAYETTE","17","051","051",90000
"320415","17079",1997,"ILLINOIS","JASPER","17","079","079",93000
"320416","17101",1997,"ILLINOIS","LAWRENCE","17","101","101",77100
"320417","17121",1997,"ILLINOIS","MARION","17","121","121",56400
"320418","17139",1997,"ILLINOIS","MOULTRIE","17","139","139",89300
"320419","17159",1997,"ILLINOIS","RICHLAND","17","159","159",72300
"320420","17173",1997,"ILLINOIS","SHELBY","17","173","173",167200
"320421","17003",1997,"ILLINOIS","ALEXANDER","17","003","003",9600
"320422","17027",1997,"ILLINOIS","CLINTON","17","027","027",74700
"320423","17077",1997,"ILLINOIS","JACKSON","17","077","077",32900
"320424","17087",1997,"ILLINOIS","JOHNSON","17","087","087",10800
"320425","17133",1997,"ILLINOIS","MONROE","17","133","133",40000
"320426","17145",1997,"ILLINOIS","PERRY","17","145","145",43000
"320427","17153",1997,"ILLINOIS","PULASKI","17","153","153",15700
"320428","17157",1997,"ILLINOIS","RANDOLPH","17","157","157",52900
"320429","17163",1997,"ILLINOIS","ST CLAIR","17","163","163",87800
"320430","17181",1997,"ILLINOIS","UNION","17","181","181",14700
"320431","17189",1997,"ILLINOIS","WASHINGTON","17","189","189",86900
"320432","17199",1997,"ILLINOIS","WILLIAMSON","17","199","199",13000
"320433","17047",1997,"ILLINOIS","EDWARDS","17","047","047",40500
"320434","17055",1997,"ILLINOIS","FRANKLIN","17","055","055",42700
"320435","17059",1997,"ILLINOIS","GALLATIN","17","059","059",75000
"320436","17065",1997,"ILLINOIS","HAMILTON","17","065","065",60600
"320437","17069",1997,"ILLINOIS","HARDIN","17","069","069",2800
"320438","17081",1997,"ILLINOIS","JEFFERSON","17","081","081",45100
"320439","17127",1997,"ILLINOIS","MASSAC","17","127","127",26700
"320440","17151",1997,"ILLINOIS","POPE","17","151","151",7800
"320441","17165",1997,"ILLINOIS","SALINE","17","165","165",42500
"320442","17185",1997,"ILLINOIS","WABASH","17","185","185",49600
"320443","17191",1997,"ILLINOIS","WAYNE","17","191","191",88500
"320444","17193",1997,"ILLINOIS","WHITE","17","193","193",89200
"322858","17011",1997,"ILLINOIS","BUREAU","17","011","011",130
"322859","17015",1997,"ILLINOIS","CARROLL","17","015","015",137
"322860","17073",1997,"ILLINOIS","HENRY","17","073","073",123
"322861","17085",1997,"ILLINOIS","JO DAVIESS","17","085","085",134
"322862","17103",1997,"ILLINOIS","LEE","17","103","103",126
"322863","17131",1997,"ILLINOIS","MERCER","17","131","131",125
"322864","17141",1997,"ILLINOIS","OGLE","17","141","141",138
"322865","17155",1997,"ILLINOIS","PUTNAM","17","155","155",136
"322866","17161",1997,"ILLINOIS","ROCK ISLAND","17","161","161",130
"322867","17177",1997,"ILLINOIS","STEPHENSON","17","177","177",134
"322868","17195",1997,"ILLINOIS","WHITESIDE","17","195","195",135
"322869","17201",1997,"ILLINOIS","WINNEBAGO","17","201","201",136
"322870","17007",1997,"ILLINOIS","BOONE","17","007","007",137
"322871","17031",1997,"ILLINOIS","COOK","17","031","031",128
"322872","17037",1997,"ILLINOIS","DE KALB","17","037","037",142
"322873","17043",1997,"ILLINOIS","DU PAGE","17","043","043",129
"322874","17063",1997,"ILLINOIS","GRUNDY","17","063","063",127
"322875","17089",1997,"ILLINOIS","KANE","17","089","089",144
"322876","17093",1997,"ILLINOIS","KENDALL","17","093","093",115
"322877","17097",1997,"ILLINOIS","LAKE","17","097","097",122
"322878","17099",1997,"ILLINOIS","LA SALLE","17","099","099",131
"322879","17111",1997,"ILLINOIS","MCHENRY","17","111","111",139
