"","spei.cut","state_alpha","county_years","total","percent"
"1","Very severe","AL",6,97,6.18556701030928
"2","Severe","AL",19,97,19.5876288659794
"3","Moderate","AL",29,97,29.8969072164948
"4","Normal","AL",43,97,44.3298969072165
"5","Very severe","IA",54,1594,3.38770388958595
"6","Severe","IA",117,1594,7.34002509410289
"7","Moderate","IA",511,1594,32.0577164366374
"8","Normal","IA",912,1594,57.2145545796738
"9","Very severe","IL",64,1248,5.12820512820513
"10","Severe","IL",132,1248,10.5769230769231
"11","Moderate","IL",271,1248,21.7147435897436
"12","Normal","IL",781,1248,62.5801282051282
"13","Very severe","IN",39,886,4.40180586907449
"14","Severe","IN",92,886,10.3837471783296
"15","Moderate","IN",196,886,22.1218961625282
"16","Normal","IN",559,886,63.0925507900677
"17","Very severe","KS",9,195,4.61538461538462
"18","Severe","KS",31,195,15.8974358974359
"19","Moderate","KS",55,195,28.2051282051282
"20","Normal","KS",100,195,51.2820512820513
"21","Very severe","KY",34,937,3.62860192102455
"22","Severe","KY",131,937,13.9807897545358
"23","Moderate","KY",259,937,27.641408751334
"24","Normal","KY",513,937,54.7491995731057
"25","Very severe","LA",1,33,3.03030303030303
"26","Severe","LA",9,33,27.2727272727273
"27","Moderate","LA",13,33,39.3939393939394
"28","Normal","LA",10,33,30.3030303030303
"29","Very severe","MD",7,176,3.97727272727273
"30","Severe","MD",35,176,19.8863636363636
"31","Moderate","MD",55,176,31.25
"32","Normal","MD",79,176,44.8863636363636
"33","Very severe","MI",3,428,0.700934579439252
"34","Severe","MI",33,428,7.71028037383178
"35","Moderate","MI",157,428,36.6822429906542
"36","Normal","MI",235,428,54.9065420560748
"37","Very severe","MN",1,812,0.123152709359606
"38","Severe","MN",96,812,11.8226600985222
"39","Moderate","MN",306,812,37.6847290640394
"40","Normal","MN",409,812,50.3694581280788
"41","Very severe","MO",30,522,5.74712643678161
"42","Severe","MO",40,522,7.66283524904215
"43","Moderate","MO",179,522,34.2911877394636
"44","Normal","MO",273,522,52.2988505747126
"45","Very severe","MS",9,127,7.08661417322835
"46","Severe","MS",20,127,15.748031496063
"47","Moderate","MS",30,127,23.6220472440945
"48","Normal","MS",68,127,53.5433070866142
"49","Very severe","NC",29,447,6.48769574944072
"50","Severe","NC",90,447,20.1342281879195
"51","Moderate","NC",189,447,42.2818791946309
"52","Normal","NC",139,447,31.0961968680089
"53","Very severe","ND",1,96,1.04166666666667
"54","Severe","ND",10,96,10.4166666666667
"55","Moderate","ND",26,96,27.0833333333333
"56","Normal","ND",59,96,61.4583333333333
"57","Very severe","NE",2,34,5.88235294117647
"58","Severe","NE",3,34,8.82352941176471
"59","Moderate","NE",11,34,32.3529411764706
"60","Normal","NE",18,34,52.9411764705882
"61","Very severe","NJ",3,81,3.7037037037037
"62","Severe","NJ",10,81,12.3456790123457
"63","Moderate","NJ",33,81,40.7407407407407
"64","Normal","NJ",35,81,43.2098765432099
"65","Very severe","NY",1,381,0.26246719160105
"66","Severe","NY",68,381,17.8477690288714
"67","Moderate","NY",97,381,25.4593175853018
"68","Normal","NY",215,381,56.4304461942257
"69","Very severe","OH",18,1270,1.41732283464567
"70","Severe","OH",191,1270,15.0393700787402
"71","Moderate","OH",439,1270,34.5669291338583
"72","Normal","OH",622,1270,48.9763779527559
"73","Very severe","OK",5,79,6.32911392405063
"74","Severe","OK",9,79,11.3924050632911
"75","Moderate","OK",31,79,39.2405063291139
"76","Normal","OK",34,79,43.0379746835443
"77","Very severe","PA",3,699,0.429184549356223
"78","Severe","PA",116,699,16.5951359084406
"79","Moderate","PA",289,699,41.3447782546495
"80","Normal","PA",291,699,41.6309012875536
"81","Very severe","SC",3,62,4.83870967741935
"82","Severe","SC",19,62,30.6451612903226
"83","Moderate","SC",21,62,33.8709677419355
"84","Normal","SC",19,62,30.6451612903226
"85","Very severe","SD",10,345,2.89855072463768
"86","Severe","SD",51,345,14.7826086956522
"87","Moderate","SD",119,345,34.4927536231884
"88","Normal","SD",165,345,47.8260869565217
"89","Very severe","TN",23,384,5.98958333333333
"90","Severe","TN",42,384,10.9375
"91","Moderate","TN",154,384,40.1041666666667
"92","Normal","TN",165,384,42.96875
"93","Very severe","TX",30,363,8.26446280991736
"94","Severe","TX",37,363,10.1928374655647
"95","Moderate","TX",162,363,44.6280991735537
"96","Normal","TX",134,363,36.9146005509642
"97","Very severe","VA",15,328,4.57317073170732
"98","Severe","VA",55,328,16.7682926829268
"99","Moderate","VA",97,328,29.5731707317073
"100","Normal","VA",161,328,49.0853658536585
"101","Very severe","WI",8,669,1.19581464872945
"102","Severe","WI",72,669,10.762331838565
"103","Moderate","WI",238,669,35.575485799701
"104","Normal","WI",351,669,52.4663677130045
"105","Very severe","WV",2,83,2.40963855421687
"106","Severe","WV",9,83,10.8433734939759
"107","Moderate","WV",31,83,37.3493975903614
"108","Normal","WV",41,83,49.3975903614458
